area,name,lat,long,status,note
北区,1-1,35.737156,139.757525,1,
北区,1-2,35.7347132,139.7590379,1,
北区,1-3,35.7343472,139.7612792,1,
北区,1-4,35.7369715,139.7555027,1,
北区,1-5,35.7347901,139.7639813,1,
北区,1-6,35.73462,139.7636488,1,
北区,1-7,35.7374893,139.757179,1,
北区,1-8,35.736749,139.756579,1,
北区,2-1,35.7372639,139.7675819,1,
北区,2-2,35.7402443,139.7609768,1,
北区,2-3,35.7379721,139.7686877,1,
北区,2-4,35.74016,139.767881,1,
北区,2-5,35.7394379,139.761787,1,
北区,2-6,35.7402328,139.7634436,1,
北区,2-7,35.7399,139.763165,1,
北区,2-8,35.7392723,139.761787,1,
北区,3-1,35.739151,139.749082,1,
北区,3-2,35.7380763,139.7538409,1,
北区,3-3,35.7370056,139.7517676,1,
北区,3-4,35.740592,139.755887,1,
北区,3-5,35.7391314,139.755527,1,
北区,3-6,35.7393685,139.7527839,1,
北区,3-7,35.740966,139.75372,1,
北区,3-8,35.7373023,139.7546638,1,
北区,4-1,35.7488144,139.749932,1,
北区,4-2,35.7495193,139.7492347,1,
北区,4-3,35.746875,139.754599,1,
北区,4-4,35.7463097,139.756984,1,
北区,4-5,35.7455377,139.7519243,1,
北区,4-6,35.744476,139.754445,1,
北区,4-7,35.7486268,139.7458464,1,
北区,4-8,35.7504295,139.7409792,1,
北区,5-1,35.739853,139.751008,1,
北区,5-2,35.74062,139.751534,1,
北区,5-3,35.741116,139.7504932,1,
北区,5-4,35.74035,139.7493051,1,
北区,5-5,35.7432766,139.7472497,1,
北区,5-6,35.742658,139.753357,1,
北区,5-7,35.7445981,139.745592,1,
北区,5-8,35.7411802,139.7482852,1,
北区,6-1,35.7467961,139.7416013,1,
北区,6-2,35.7448301,139.7442105,1,
北区,6-3,35.7487401,139.7403984,1,
北区,6-4,35.7446188,139.7443491,1,
北区,6-5,35.7445727,139.7419724,1,
北区,6-6,35.7472341,139.7387261,1,
北区,6-7,35.743964,139.7417865,1,
北区,6-8,35.7419885,139.7429119,1,
北区,7-1,35.7413241,139.7376425,1,
北区,7-2,35.744754,139.733168,1,
北区,7-3,35.743414,139.737749,1,
北区,7-4,35.742827,139.7365326,1,
北区,7-5,35.7434211,139.7364334,1,
北区,7-6,35.7431775,139.7372357,1,
北区,7-7,35.7422524,139.736941,1,
北区,7-8,35.7417404,139.7354708,1,
北区,8-1,35.7422679,139.7228793,1,
北区,8-2,35.7448347,139.721974,1,
北区,8-3,35.7449653,139.7216172,1,
北区,8-4,35.7442293,139.7209139,1,
北区,8-5,35.7426079,139.7234627,1,
北区,8-6,35.7439902,139.7214186,1,
北区,8-7,35.7435417,139.7212444,1,
北区,8-8,35.7445001,139.7210885,1,
北区,9-1,35.745125,139.726402,1,
北区,9-2,35.7444123,139.7269409,1,
北区,9-3,35.744193,139.726187,1,
北区,9-4,35.7447375,139.7259082,1,
北区,9-5,35.7417944,139.7230958,1,
北区,9-6,35.7419234,139.7238164,1,
北区,9-7,35.7451839,139.7277483,1,
北区,9-8,35.7455322,139.7254016,1,
北区,10-1,35.7485816,139.7268781,1,
北区,10-2,35.7520158,139.7247554,1,
北区,10-3,35.7512146,139.7276203,1,
北区,10-4,35.7490845,139.7237493,1,
北区,10-5,35.7483347,139.7244565,1,
北区,10-6,35.748986,139.724663,1,
北区,10-7,35.7501994,139.7248019,1,
北区,11-1,35.7492847,139.7316194,1,
北区,11-2,35.75075,139.732335,1,
北区,11-3,35.750741,139.7299266,1,
北区,11-4,35.75048,139.72881,1,
北区,11-5,35.7488753,139.730538,1,
北区,11-6,35.7495178,139.7296737,1,
北区,11-7,35.7494524,139.7285209,1,
北区,11-8,35.7510889,139.7295128,1,
北区,12-1,35.7484266,139.737466,1,
北区,12-2,35.7478732,139.7367868,1,
北区,12-3,35.74842,139.7354941,1,
北区,12-4,35.747236,139.735205,1,
北区,12-5,35.7511405,139.7348479,1,
北区,12-6,35.749536,139.738603,1,
北区,12-7,35.7511131,139.7361231,1,
北区,12-8,35.7480948,139.7348593,1,
北区,13-1,35.752153,139.7394845,1,
北区,13-2,35.75327,139.746445,1,
北区,13-3,35.751839,139.739282,1,
北区,13-4,35.7539944,139.74634,1,
北区,13-5,35.7551393,139.7466322,1,
北区,13-6,35.756119,139.747877,1,
北区,13-7,35.7545946,139.7428722,1,
北区,13-8,35.754486,139.755194,1,
北区,14-1,35.7571504,139.7407313,1,
北区,14-2,35.7578814,139.7440503,1,
北区,14-3,35.7571672,139.7433739,1,
北区,14-4,35.7579659,139.7443314,1,
北区,14-5,35.7587871,139.7465334,1,
北区,14-6,35.7588308,139.7440201,1,
北区,14-7,35.7590023,139.7428536,1,
北区,15-1,35.760883,139.743444,1,
北区,15-2,35.7605751,139.7434285,1,
北区,15-3,35.7604,139.742478,1,
北区,15-4,35.760944,139.7423335,1,
北区,15-5,35.7622861,139.7471585,1,
北区,15-6,35.7624137,139.7496207,1,
北区,15-7,35.7621797,139.7451251,1,
北区,15-8,35.7620767,139.7510747,1,
北区,16-1,35.76618,139.750149,1,
北区,16-2,35.7663808,139.7514341,1,
北区,16-3,35.7654222,139.7527649,1,
北区,16-4,35.7643363,139.7500042,1,
北区,16-5,35.763923,139.75303,1,
北区,16-6,35.764214,139.751673,1,
北区,16-7,35.7641799,139.7524432,1,
北区,16-8,35.7655233,139.7515378,1,
北区,17-1,35.7651266,139.7381717,1,
北区,17-2,35.7659772,139.7475036,1,
北区,17-3,35.766606,139.737032,1,
北区,17-4,35.75915,139.740048,1,
北区,17-5,35.7638726,139.7415663,1,
北区,17-6,35.7628037,139.7403724,1,
北区,17-7,35.7645512,139.7440925,1,
北区,17-8,35.7663284,139.7435447,1,
北区,17-9,35.7623236,139.7413527,1,
北区,18-1,35.756022,139.738928,1,
北区,18-2,35.754454,139.738451,1,
北区,18-3,35.7590942,139.7365013,1,
北区,18-4,35.762176,139.7387164,1,
北区,18-5,35.7528473,139.7380066,1,
北区,18-6,35.7591602,139.7356742,1,
北区,18-7,35.7546744,139.7368462,1,
北区,18-8,35.7565921,139.735245,1,
北区,19-1,35.753187,139.733342,1,
北区,19-2,35.7528082,139.7347718,1,
北区,19-3,35.755455,139.732843,1,
北区,19-4,35.75403,139.729751,1,
北区,19-5,35.7582165,139.7323749,1,
北区,19-6,35.754775,139.729659,1,
北区,19-7,35.7527095,139.725531,1,
北区,19-8,35.7532315,139.7306408,1,
北区,20-1,35.7618675,139.7282561,1,
北区,20-2,35.75696,139.729428,1,
北区,20-3,35.758348,139.729814,1,
北区,20-4,35.758361,139.728495,1,
北区,20-5,35.757086,139.729584,1,
北区,20-6,35.7576195,139.7228029,1,
北区,20-7,35.757761,139.72858,1,
北区,20-8,35.7558848,139.7239697,1,
北区,21-1,35.7596309,139.7194781,1,
北区,21-2,35.759808,139.717425,1,
北区,21-3,35.7594143,139.7188289,1,
北区,21-4,35.760049,139.718839,1,
北区,21-5,35.759312,139.718305,1,
北区,21-6,35.7546582,139.7219368,1,
北区,21-7,35.763835,139.719888,1,
北区,21-8,35.758097,139.7203092,1,
北区,22-1,35.764847,139.718603,1,
北区,22-2,35.7676278,139.720914,1,
北区,22-3,35.7637626,139.713641,1,
北区,22-4,35.764852,139.717871,1,
